source_id,source_type,domain,platform,mission,trust_object,assurance_layer,lifecycle_stage,evidence,threat,trust_method,blockchain_role,assumptions,evaluation_maturity,limitations,coding_status,title,year,doi_or_url
hafeez2023blockchain,peer-reviewed review,air,UAV/UAS,communications/data collection,link/path,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Blockchain-Assisted UAV Communication Systems: A Comprehensive Survey,2023,10.1109/ojvt.2023.3295208
alladi2020applications,peer-reviewed review,air,UAV/UAS,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,Applications of blockchain in unmanned aerial vehicles: A review,2020,10.1016/j.vehcom.2020.100249
mehta2020blockchain,peer-reviewed primary study,air,UAV/UAS,communications/data collection,link/path,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,"Blockchain envisioned UAV networks: Challenges, solutions, and comparisons",2020,10.1016/j.comcom.2020.01.023
mekdad2023survey,peer-reviewed review,air,UAV/UAS,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats; privacy exposure,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A survey on security and privacy issues of UAVs,2023,10.1016/j.comnet.2023.109626
wang2025survey,peer-reviewed review,air,UAV/UAS,communications/data collection,link/path,foundational/contextual,transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,cyberattack; multiple security threats,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,A Survey on Security of UAV Swarm Networks: Attacks and Countermeasures,2025,10.1145/3703625
hadi2023comprehensive,peer-reviewed review,air,UAV/UAS,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,"review taxonomy of software, hardware, and communication vulnerabilities, attacks, and defenses",multiple security threats; privacy exposure,not applicable/title-insufficient,not central,primarily civilian/commercial UAV systems and published countermeasures,peer-reviewed review-level synthesis,blockchain and other emerging defenses are not evidence of real-time deployment in highly mobile UAVs,lawful full text inspected; claim-level coding completed for review scope,"A comprehensive survey on security, privacy issues and emerging defence technologies for UAVs",2023,10.1016/j.jnca.2023.103607
khan2023swarm,peer-reviewed review,air,UAV/UAS,communications/data collection,link/path,foundational/contextual,transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Swarm of UAVs for Network Management in 6G: A Technical Review,2023,10.1109/tnsm.2022.3213370
hayat2016survey,peer-reviewed review,air,UAV/UAS,communications/data collection,link/path,foundational/contextual,transmission/relay,"application taxonomy plus quantified mission, data, network, and QoS requirements",not title-coded,not applicable/title-insufficient,not central,civil UAV applications; communication requirements vary by mission and network role,review-level synthesis with reported quantitative requirements,air-domain communications review; does not validate cross-domain assurance,lawful full text inspected; claim-level coding completed for review scope,Survey on Unmanned Aerial Vehicle Networks for Civil Applications: A Communications Viewpoint,2016,10.1109/comst.2016.2560343
shakhatreh2019unmanned,peer-reviewed review,air,UAV/UAS,maritime search and rescue/observation,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Unmanned Aerial Vehicles (UAVs): A Survey on Civil Applications and Key Research Challenges,2019,10.1109/access.2019.2909530
mohsan2023unmanned,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,multiple security threats,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"Unmanned aerial vehicles (UAVs): practical aspects, applications, open challenges, security issues, and future trends",2023,10.1007/s11370-022-00452-4
