source_id,title,doi_or_url,priority,status,coding_status
hafeez2023blockchain,Blockchain-Assisted UAV Communication Systems: A Comprehensive Survey,10.1109/ojvt.2023.3295208,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
alladi2020applications,Applications of blockchain in unmanned aerial vehicles: A review,10.1016/j.vehcom.2020.100249,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
mehta2020blockchain,"Blockchain envisioned UAV networks: Challenges, solutions, and comparisons",10.1016/j.comcom.2020.01.023,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
mekdad2023survey,A survey on security and privacy issues of UAVs,10.1016/j.comnet.2023.109626,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
wang2025survey,A Survey on Security of UAV Swarm Networks: Attacks and Countermeasures,10.1145/3703625,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text acquired and screened; fine-grained analytical coding pending
hadi2023comprehensive,"A comprehensive survey on security, privacy issues and emerging defence technologies for UAVs",10.1016/j.jnca.2023.103607,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
khan2023swarm,Swarm of UAVs for Network Management in 6G: A Technical Review,10.1109/tnsm.2022.3213370,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
hayat2016survey,Survey on Unmanned Aerial Vehicle Networks for Civil Applications: A Communications Viewpoint,10.1109/comst.2016.2560343,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
shakhatreh2019unmanned,Unmanned Aerial Vehicles (UAVs): A Survey on Civil Applications and Key Research Challenges,10.1109/access.2019.2909530,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
mohsan2023unmanned,"Unmanned aerial vehicles (UAVs): practical aspects, applications, open challenges, security issues, and future trends",10.1007/s11370-022-00452-4,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
yahuza2021internet,Internet of Drones Security and Privacy Issues: Taxonomy and Open Challenges,10.1109/access.2021.3072030,background,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
ch2020security,Security and privacy of UAV data using blockchain technology,10.1016/j.jisa.2020.102670,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
barka2022towards,Towards a trusted unmanned aerial system using blockchain for the protection of critical infrastructure,10.1002/ett.3706,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
jensen2019blockchain,Blockchain Technology for Networked Swarms of Unmanned Aerial Vehicles (UAVs),10.1109/wowmom.2019.8793027,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
karmakar2024blockchain,A Blockchain-Based Distributed and Intelligent Clustering-Enabled Authentication Protocol for UAV Swarms,10.1109/tmc.2023.3319544,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
han2022identity,Identity Management and Authentication of a UAV Swarm Based on a Blockchain,10.3390/app122010524,high,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full-text artifact retained; claim-level coding pending
xiao2021blockchain,A Blockchain-Based Secure Crowd Monitoring System Using UAV Swarm,10.1109/mnet.011.2000210,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
abualsauod2022hybrid,A hybrid blockchain method in internet of things for privacy and security in unmanned aerial vehicles network,10.1016/j.compeleceng.2022.107847,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
tan2022blockchain,Blockchain-Assisted Distributed and Lightweight Authentication Service for Industrial Unmanned Aerial Vehicles,10.1109/jiot.2022.3142251,medium,lawful full-text artifact retained; inventory reconciled 7 September 2026,lawful full text inspected; claim-level coding completed for review scope
liu2023lightweight,Lightweight Trustworthy Message Exchange in Unmanned Aerial Vehicle Networks,10.1109/tits.2021.3136304,medium,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
aggarwal2021blockchain,"Blockchain-Envisioned UAV Communication Using 6G Networks: Open Issues, Use Cases, and Future Directions",10.1109/jiot.2020.3020819,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
kumari2020taxonomy,A taxonomy of blockchain-enabled softwarization for secure UAV network,10.1016/j.comcom.2020.07.042,high,retained full-text artifact not recorded; inspect source before detailed claims,bibliographic metadata verified; full-text analytical coding pending
